"","country","power_index","active_personnel","aircraft_carriers","armored_vehicles","attack_helicopters","available_manpower","coastline_coverage","corvettes","dedicated_attack","defense_budget","destroyers","external_debt","fighters_interceptors","fit_for_service","foreign_exchange_gold","frigates","helicopter_carriers","helicopters","labor_force","merchant_marine_fleet","mine_warfare","navy_ships","oil_consumption","oil_production","oil_proven_reserves","paramilitary","patrol_vessels","ports___trade_terminals","purchasing_power_parity","railway_coverage","reaching_mil_age_annually","reserve_personnel","roadway_coverage","rocket_projectors","self_propelled_artillery","shared_borders","special_mission","square_land_area","submarines","tanker_fleet","tanks","total_aircraft_strength","total_population","towed_artillery","trainers","transports","waterways__usable_"
"79","Montenegro",4.8015,2000,0,100,0,145,294,0,0,74074500,0,2.516e+09,11,86253,1.077e+09,0,0,11,167000,17,0,13,6000,0,0,10000,5,1,1.15e+10,250,3644,0,7762,18,0,680,0,13812,0,0,0,11,607414,12,0,0,0
"80","Morocco",0.8573,200000,0,3500,0,17549670,1835,1,0,5438823613,0,5.2957e+10,249,14917220,2.627e+10,6,0,64,10399000,93,0,121,278000,160,684000,25000,22,7,2.5942e+11,2067,621551,100000,57300,144,517,2363,4,446550,0,2,3335,249,36561813,211,67,29,0
"81","Mozambique",3.1746,11000,0,317,2,13590735,2470,0,0,140200000,0,1.091e+10,18,7196912,3.361e+09,0,0,8,12900000,30,0,8,26000,0,0,0,8,3,3.842e+10,4787,494209,0,31083,12,0,4783,0,799380,0,0,90,18,30888034,270,1,1,460
"82","Myanmar",0.5972,400000,0,1587,9,30246622,1930,3,21,2285700000,0,6.594e+09,280,21800396,4.924e+09,5,0,80,22300000,95,2,155,123000,11000,1.39e+08,50000,133,3,2.4724e+11,5031,1027244,0,157000,486,190,6522,5,676578,1,0,664,280,57069099,1869,93,26,12800
"83","Namibia",4.3496,12500,0,489,2,589202,1572,2,0,363800000,0,7.969e+09,30,382981,2.432e+09,0,0,7,956800,14,0,8,27000,0,0,5000,5,2,2.26e+10,2628,29460,0,48875,7,0,4220,0,824292,0,0,5,30,2678191,54,14,3,0
"84","Nepal",3.4016,95000,0,277,0,14908190,0,0,0,437580000,0,5.849e+09,14,11470179,9.091e+09,0,0,9,16810000,0,0,0,27000,0,0,10000,0,0,1.1072e+11,59,760622,0,27990,0,0,3159,0,147181,0,0,0,14,30424878,14,0,5,0
"85","Netherlands",0.5937,35000,0,2806,24,7801831,451,0,13,1.426e+10,0,4.345413e+12,156,6328152,3.844e+10,6,0,70,8907000,1199,6,61,945500,18000,81130000,5000,4,6,9.4548e+11,3058,190711,5000,139124,0,57,1053,0,41543,4,1,18,156,17337403,15,28,4,6237
"86","New Zealand",1.6836,9600,0,500,0,2146320,15134,0,0,3.7e+09,0,1.90621e+11,47,1717056,2.068e+10,2,0,22,2709000,115,0,9,169100,25000,51800000,0,4,6,2.156e+11,4128,59897,2500,94000,0,0,0,5,267710,0,0,0,47,4991442,24,13,7,0
"87","Nicaragua",3.7337,12000,0,300,0,3059526,910,0,0,88340000,0,1.1674e+10,17,2597475,2.758e+09,0,0,11,3046000,5,0,25,37000,0,0,0,22,2,3.498e+10,0,137366,0,23897,163,0,1253,0,130370,0,0,195,17,6243931,630,1,5,2220
"88","Niger",2.5998,10000,0,182,1,7081730,0,0,2,287280000,0,3.728e+09,16,4744759,1.314e+09,0,0,7,6500000,1,0,0,14000,9000,1.5e+08,3000,0,0,2.897e+10,0,401298,0,18949,0,0,5834,2,1267000,0,0,0,16,23605767,0,0,5,300
